time,COMBINED,speaker,talk
2438,TNine is closer to what? Nine or- I mean 10 or five?,T,Nine is closer to what? Nine or- I mean 10 or five?
2442,SIt would be ten.,S,It would be ten.
2443,TOkay. So use the 10.,T,Okay. So use the 10.
2445,SOkay.,S,Okay.
2446,TOkay? And even when you get to the 12- that's halfway between the 10 and the 15- you'll pick.,T,Okay? And even when you get to the 12- that's halfway between the 10 and the 15- you'll pick.
2453,SOkay.,S,Okay.
2454,TOkay? You can either pick one 10 mile an hour or the 10 mile and five mile.,T,Okay? You can either pick one 10 mile an hour or the 10 mile and five mile.
2458,"SNWhat about the ""calm?"" What do you do? Do you just- ",SN,"What about the ""calm?"" What do you do? Do you just- "
2460,TCalm you don't put any //line at all.,T,Calm you don't put any //line at all.
2461,S//Okay.,S,//Okay.
2462,"TThere's no line because there's no direction, there's no nothing, okay?",T,"There's no line because there's no direction, there's no nothing, okay?"
2465,"SNOh. Uh, and another thing. What if you have like three? Do you put like different-",SN,"Oh. Uh, and another thing. What if you have like three? Do you put like different-"
2471,TYou shouldn't have two on there. It's one or the other. What is that? New York?,T,You shouldn't have two on there. It's one or the other. What is that? New York?
2475,"SYes, New York.",S,"Yes, New York."
2476,TNine-mile-an-hour wind out of the northeast. Which direction is the northeast?,T,Nine-mile-an-hour wind out of the northeast. Which direction is the northeast?
2482,SUp here.,S,Up here.
2483,"TYeah. So erase that one you've got on the bottom, and then don't forget to put your 10-mile-an-hour line on there. ",T,"Yeah. So erase that one you've got on the bottom, and then don't forget to put your 10-mile-an-hour line on there. "
2491,TOkay. ,T,Okay. 
2498,TAll right. How many of you guys got done here? We only have like 15 minutes. How many have you got gone?,T,All right. How many of you guys got done here? We only have like 15 minutes. How many have you got gone?
2507,SNI'm on my first one.,SN,I'm on my first one.
2508,TOn your what?,T,On your what?
2509,SMy first one.,S,My first one.
2510,THannah! Oh. You found all your cities first?,T,Hannah! Oh. You found all your cities first?
2513,SYeah. ,S,Yeah. 
2516,SNI'm like halfway done. ,SN,I'm like halfway done. 
2520,TYou're halfway done? ,T,You're halfway done? 
2521,SYep. ,S,Yep. 
2522,"SNWhat would- mostly cloudy is that, right?",SN,"What would- mostly cloudy is that, right?"
2524,TUh-huh.,T,Uh-huh.
2525,SAnd partly- partly cloudy is half?,S,And partly- partly cloudy is half?
2528,TUh-huh.,T,Uh-huh.
2530,"SAnd then ""mostly"" is just like 75%?",S,"And then ""mostly"" is just like 75%?"
2532,T//Uh-huh.,T,//Uh-huh.
2533,S//What would the 25% be?,S,//What would the 25% be?
2534,TWhat do you think? What is it mostly of if only a quarter of it is dark? ,T,What do you think? What is it mostly of if only a quarter of it is dark? 
2538,SMostly clear.,S,Mostly clear.
2539,TMostly clear or mostly sunny.,T,Mostly clear or mostly sunny.
2541,SNIt goes like that.,SN,It goes like that.
2542,TYou don't have any on there. ,T,You don't have any on there. 
2543,SNOh. ,SN,Oh. 
2544,TUnfortunately it was a cloudy day all the way around the country.,T,Unfortunately it was a cloudy day all the way around the country.
2548,SNLike light green air is light rain?,SN,Like light green air is light rain?
2551,TYeah.,T,Yeah.
2552,SOkay.,S,Okay.
2553,"TYeah. If you use the- when you use the colored pencils, if they're dull, just use the hand sharpeners please. Don't use the power sharpeners,",T,"Yeah. If you use the- when you use the colored pencils, if they're dull, just use the hand sharpeners please. Don't use the power sharpeners,"
2562,"Tbecause they chew it up, eat them away. ",T,"because they chew it up, eat them away. "
2564,SNThat's just (inaudible).,SN,That's just (inaudible).
2566,TYeah. ,T,Yeah. 
2568,"TYeah they drew their hand today, in art. They didn't-",T,"Yeah they drew their hand today, in art. They didn't-"
2574,SNWe had to draw it upside down. ,SN,We had to draw it upside down. 
2575,TYou had to do your hand. Remember you had to do your hand?,T,You had to do your hand. Remember you had to do your hand?
2579,"SYeah, but we had to draw upside down.",S,"Yeah, but we had to draw upside down."
2580,TThey haven't got there yet.,T,They haven't got there yet.
2583,SCan I go back there?,S,Can I go back there?
2584,TDon't push too hard.,T,Don't push too hard.
2585,"SNOh, man, it hurts.",SN,"Oh, man, it hurts."
2586,TWhat are you in now?,T,What are you in now?
2588,SNI'm in... a reading thing.,SN,I'm in... a reading thing.
2592,"TOh, (inaudible). No, you can't come back to art. Sorry.",T,"Oh, (inaudible). No, you can't come back to art. Sorry."
2603,SNCreepy.,SN,Creepy.
2606,SNIt's creepy.,SN,It's creepy.
2607,TWhat's creepy?,T,What's creepy?
2608,SNMy cousin-,SN,My cousin-
2611,TWhat?,T,What?
2612,SNHer cousin has a crush on him.,SN,Her cousin has a crush on him.
2614,SNNo. She used to.,SN,No. She used to.
2615,TWhose cousin?,T,Whose cousin?
2617,SMy cousin used to.,S,My cousin used to.
2618,TYour cousin has a- had a //crush on you?,T,Your cousin has a- had a //crush on you?
2619,"S//She used to. Yeah, that's why she creeps me out.",S,"//She used to. Yeah, that's why she creeps me out."
2622,"TOh. Not Lydia, your cousin?",T,"Oh. Not Lydia, your cousin?"
2624,SYes.,S,Yes.
2626,TOh.,T,Oh.
2627,SI'm afraid of her.,S,I'm afraid of her.
2628,SNOh. ,SN,Oh. 
2628,SNShe's strong.,SN,She's strong.
2629,SNShe really scares me. ,SN,She really scares me. 
2630,SNI don't like my cousin; I like my cousin's friends. ,SN,I don't like my cousin; I like my cousin's friends. 
2635,SMy cousin scares me. I don't like him. I like my cousin's friends.,S,My cousin scares me. I don't like him. I like my cousin's friends.
2639,SNI don't know.,SN,I don't know.
2641,TMake sure you're putting those in the right place.,T,Make sure you're putting those in the right place.
2643,SI am.,S,I am.
2644,TOkay. Because it looks like Los Angeles is on top of your circle. Your circle needs to be to the left of that city name.,T,Okay. Because it looks like Los Angeles is on top of your circle. Your circle needs to be to the left of that city name.
2657,SNFive miles an hour variable directions. //Does that need to be in any direction?,SN,Five miles an hour variable directions. //Does that need to be in any direction?
2658,"SN//What one are we on, Los Angeles?",SN,"//What one are we on, Los Angeles?"
2661,TYes. And that's the one where I told you to just put the arrow anywhere.,T,Yes. And that's the one where I told you to just put the arrow anywhere.
2667,"SNI can't find it, Mitch.",SN,"I can't find it, Mitch."
2670,SNHow do you do a variable wind?,SN,How do you do a variable wind?
2674,"SNOkay. My parents were in Las Vegas, you know, September 11.",SN,"Okay. My parents were in Las Vegas, you know, September 11."
2676,SNIt's there.,SN,It's there.
2677,TThey were? ,T,They were? 
2678,SNYeah.,SN,Yeah.
2679,TOoh.,T,Ooh.
2680,"SNYeah. You see, they made a really wise decision. You see, originally my dad didn't want to.",SN,"Yeah. You see, they made a really wise decision. You see, originally my dad didn't want to."
2684,"SN It's the speed, the variable speed.",SN ,"It's the speed, the variable speed."
2687,SNIt's what she said.,SN,It's what she said.
2691,SNAnd then you put a V on it.,SN,And then you put a V on it.
2696,"SNThat's for the five miles per hour, I think.",SN,"That's for the five miles per hour, I think."
2700,TThey did drive? I wouldn't have gotten on an airplane.,T,They did drive? I wouldn't have gotten on an airplane.
2702,SThey had to drive- they couldn't get- like-,S,They had to drive- they couldn't get- like-
2704,TOh. //Yeah.,T,Oh. //Yeah.
2705,S//It was either drive or spend 200 dollars a night //to stay at the hotel.,S,//It was either drive or spend 200 dollars a night //to stay at the hotel.
2707,"SN//I'm sorry, Jeff.",SN,"//I'm sorry, Jeff."
2708,TWere they even flying planes at that point?,T,Were they even flying planes at that point?
2709,SNYeah.,SN,Yeah.
2710,TWhen they were coming //back they were?,T,When they were coming //back they were?
2711,"SN//Oh. No. No, they weren't.",SN,"//Oh. No. No, they weren't."
2713,TWe weren't having any planes in the air at that point. Wow.,T,We weren't having any planes in the air at that point. Wow.
2715,SSo they had to drive back and-,S,So they had to drive back and-
2717,"TIt would be a nice drive, unless you're in a hurry.",T,"It would be a nice drive, unless you're in a hurry."
2720,"SThey- they tried to do that. See, they put-",S,"They- they tried to do that. See, they put-"
2723,SNWhat's today? The 28th?,SN,What's today? The 28th?
2724,"SNBut, I mean, they didn't have that thing- I mean they weren't back- they //initially were supposed to be gone one week. ",SN,"But, I mean, they didn't have that thing- I mean they weren't back- they //initially were supposed to be gone one week. "
2729,SBut they weren't back home (inaudible).,S,But they weren't back home (inaudible).
2731,TOh. Yeah.,T,Oh. Yeah.
2732,S(inaudible) if they didn't have that car.,S,(inaudible) if they didn't have that car.
2734,TYeah.,T,Yeah.
2735,SBecause there was so many people //who were just diving to get in a car.,S,Because there was so many people //who were just diving to get in a car.
2736,S//Your name's right there.,S,//Your name's right there.
2738,"TOh, I'm sure. Yeah. Supply and demand.",T,"Oh, I'm sure. Yeah. Supply and demand."
2740,"SThey just, like-",S,"They just, like-"
2742,"SNI drew variable direction. Like, what do you put for variable direction?",SN,"I drew variable direction. Like, what do you put for variable direction?"
2745,TVariable direction? I think I answered that a few minutes ago.,T,Variable direction? I think I answered that a few minutes ago.
2748,SNI thought you answered variable speed.,SN,I thought you answered variable speed.
2749,"TWhat did I say about variable direction, Wes?",T,"What did I say about variable direction, Wes?"
2752,SNPardon?,SN,Pardon?
2753,TWhat did I say when the direction is variable?,T,What did I say when the direction is variable?
2755,SIt can go any- you can just point the arrow in whatever way you want it to.,S,It can go any- you can just point the arrow in whatever way you want it to.
2759,TJust put a line on there somewhere to attach your five miles per hour. ,T,Just put a line on there somewhere to attach your five miles per hour. 
2766,TThere you go. There you go.,T,There you go. There you go.
2773,SNDo we have to use different colors?,SN,Do we have to use different colors?
2775,"TNo. Uh-uh. No. Not on the station model. The whole thing can be the same color. When you shade, if you want to use color, you can use color. ",T,"No. Uh-uh. No. Not on the station model. The whole thing can be the same color. When you shade, if you want to use color, you can use color. "
2783,TOkay. It's just like shading when you did the station model worksheet.,T,Okay. It's just like shading when you did the station model worksheet.
2787,THow are you doing over here? ,T,How are you doing over here? 
2788,SNGood.,SN,Good.
2789,TYou get it?,T,You get it?
2790,SNYeah.,SN,Yeah.
2791,TGood. ,T,Good. 
2793,"THow many you got done, Mitch?",T,"How many you got done, Mitch?"
2794,"SNThis thing is too big, but-",SN,"This thing is too big, but-"
2796,THow many station models?,T,How many station models?
2797,"SNOne, two, three, //four, five, six, seven.",SN,"One, two, three, //four, five, six, seven."
2798,SN//Seven.,SN,//Seven.
2800,SNEight.,SN,Eight.
2801,"TEight? One, two, three, four, five, six, seven, eight. Okay. ",T,"Eight? One, two, three, four, five, six, seven, eight. Okay. "
2807,TYes? Who's calling me? What?,T,Yes? Who's calling me? What?
2809,"SNSince Cape Hatteras is out in the ocean, where are we supposed to put it?",SN,"Since Cape Hatteras is out in the ocean, where are we supposed to put it?"
2811,TIt isn't in the ocean.,T,It isn't in the ocean.
2813,SNThere's no dot.,SN,There's no dot.
2814,TIt is right- it's a cape so I'm assuming it's like right here. We'll just make it right there. There's the city. Now go with it. ,T,It is right- it's a cape so I'm assuming it's like right here. We'll just make it right there. There's the city. Now go with it. 
2824,TIt's not in the ocean.,T,It's not in the ocean.
2826,SNThat's how they showed it on the map. ,SN,That's how they showed it on the map. 
2829,"TActually, I should show you the picture of the lighthouse that's there. ",T,"Actually, I should show you the picture of the lighthouse that's there. "
2832,TI'll pull that stuff out for tomorrow because it's kind of interesting.,T,I'll pull that stuff out for tomorrow because it's kind of interesting.
2847,SNWhere is Cape Hatteras?,SN,Where is Cape Hatteras?
2849,SNIt's out in the ocean.,SN,It's out in the ocean.
2850,SN I know but-,SN ,I know but-
2851,SN It's in the middle of the ocean.,SN ,It's in the middle of the ocean.
2854,SNIt's the little dot. It's right there.,SN,It's the little dot. It's right there.
2857,"TIt's not in your book map. Oh. Yes, it is in your book map. It's not on the plastic map. It's right here.",T,"It's not in your book map. Oh. Yes, it is in your book map. It's not on the plastic map. It's right here."
2861,SNI know.,SN,I know.
2862,TIt's- ,T,It's- 
2863,"SI know, but it's-",S,"I know, but it's-"
2864,TYou know? Why are you asking //me?,T,You know? Why are you asking //me?
2865,"S//Well, it's like ""where do I put it?""",S,"//Well, it's like ""where do I put it?"""
2866,TOkay.,T,Okay.
2867,SI know because I had to go there.,S,I know because I had to go there.
2868,TIt- it should be like right here somewhere. Anywhere that it looks like it might- right in that little cove area there. ,T,It- it should be like right here somewhere. Anywhere that it looks like it might- right in that little cove area there. 
2876,SThere it is.,S,There it is.
2877,"TThere- okay. I'll- to put it to you this way, there's a lighthouse on Cape Hatteras so it can't be back in that cove area, right? ",T,"There- okay. I'll- to put it to you this way, there's a lighthouse on Cape Hatteras so it can't be back in that cove area, right? "
2885,TIt's got to be the most sticking out point of North Carolina. How's that?,T,It's got to be the most sticking out point of North Carolina. How's that?
2891,SNThat's good.,SN,That's good.
2892,"TOkay. But they had to move the lighthouse because the most sticking out point of North Carolina got washed away, and they thought //that they-",T,"Okay. But they had to move the lighthouse because the most sticking out point of North Carolina got washed away, and they thought //that they-"
2900,SN //So the original Cape Hatteras is in the ocean.,SN ,//So the original Cape Hatteras is in the ocean.
2905,"SNSo wait, a continent got washed out to sea?",SN,"So wait, a continent got washed out to sea?"
2907,"TOkay, Dorothy. You got me there. ",T,"Okay, Dorothy. You got me there. "
2909,SI'm confused.,S,I'm confused.
2910,TI can't- no. They actually rolled it back. It's very interesting.,T,I can't- no. They actually rolled it back. It's very interesting.
2913,S//What?,S,//What?
2914,"T//I'll find the stuff. You keep working, I'll find the picture. ",T,"//I'll find the stuff. You keep working, I'll find the picture. "
2916,SThat confuses me.,S,That confuses me.
2917,TYou just keep working. Just- ,T,You just keep working. Just- 
2918,SNIt's right here. That little part-,SN,It's right here. That little part-
2920,TIt's that little part sticking out right there. ,T,It's that little part sticking out right there. 
2924,"TYeah, everything filled in. You're gonna have to wait for your group mates to figure out their stuff so //that you can move on to it, but-",T,"Yeah, everything filled in. You're gonna have to wait for your group mates to figure out their stuff so //that you can move on to it, but-"
2929,S//So Rhode Island is floating up the sea?,S,//So Rhode Island is floating up the sea?
2931,SNNo. Rhode Island //is not an island- ,SN,No. Rhode Island //is not an island- 
2933,"T//Look at- look at where your cloudiness is; look at where your precipitation is and you can go ahead and shade that, ",T,"//Look at- look at where your cloudiness is; look at where your precipitation is and you can go ahead and shade that, "
2941,Tand then they're all gonna want to look at yours when they get done so they can copy it.,T,and then they're all gonna want to look at yours when they get done so they can copy it.
2944,SNRhode Island is not an island.,SN,Rhode Island is not an island.
2947,"TRhode Island is not an island, nope. They probably thought it was when they named it.",T,"Rhode Island is not an island, nope. They probably thought it was when they named it."
2962,SNWhere is it anyways?,SN,Where is it anyways?
2963,SNWhere is Rhode Island? ,SN,Where is Rhode Island? 
2965,SNThere is Iowa. ,SN,There is Iowa. 
2972,SNRhode Island is-,SN,Rhode Island is-
2977,SN(If you see) Massachusetts (you see towards) Rhode Island- ,SN,(If you see) Massachusetts (you see towards) Rhode Island- 
2980,"TI'm really thinking we need an American geography class, you guys.",T,"I'm really thinking we need an American geography class, you guys."
2984,"SNOh, yeah.",SN,"Oh, yeah."
2985,TYeah.,T,Yeah.
2988,SNStop.,SN,Stop.
2989,"SNOh, yeah. I see it now.",SN,"Oh, yeah. I see it now."
2990,SNWhen did you say it's Rhode Island?,SN,When did you say it's Rhode Island?
2993,SNLet's (inaudible) Massachusetts.,SN,Let's (inaudible) Massachusetts.
2995,SNIsn't that the tiniest state?,SN,Isn't that the tiniest state?
3003,SN You got issues.,SN ,You got issues.
3019,"TUh, is there a problem? Do I need to be babysitting?",T,"Uh, is there a problem? Do I need to be babysitting?"
3022,SNNo.,SN,No.
3023,SNYeah. You need to baby-sit them.,SN,Yeah. You need to baby-sit them.
3024,SNBaby-sit them.,SN,Baby-sit them.
3025,"TNo, I don't think that's in my job description. ",T,"No, I don't think that's in my job description. "
3029,SBaby-sit (inaudible).,S,Baby-sit (inaudible).
3032,TNot when the kid being babysitted is 14 years old.,T,Not when the kid being babysitted is 14 years old.
3039,SNThat means it's not me because I'm not 14 years old.,SN,That means it's not me because I'm not 14 years old.
3041,SNNeither am I.,SN,Neither am I.
3043,SNYou baby-sit at 14?,SN,You baby-sit at 14?
3049,TThere it is.,T,There it is.
3050,SNMiss Anderson?,SN,Miss Anderson?
3051,TUh-huh?,T,Uh-huh?
3052,SIs the higher the humidity where a high pressure is or low pressure?,S,Is the higher the humidity where a high pressure is or low pressure?
3058,THmm. Good question. Where would the most humidity be?,T,Hmm. Good question. Where would the most humidity be?
3062,"TThink about- look at- well, think about a weather map. ",T,"Think about- look at- well, think about a weather map. "
3070,TWhere is the precipitation around the fronts? ,T,Where is the precipitation around the fronts? 
3078,TPrecipitation is behind the front or in front of the front?,T,Precipitation is behind the front or in front of the front?
3080,SIt's in front of it.,S,It's in front of it.
3082,"TIn front of the front. Okay. So if you're looking at precipitation, you're looking at humidity, too. ",T,"In front of the front. Okay. So if you're looking at precipitation, you're looking at humidity, too. "
3088,TSo what is higher humidity gonna tell you?,T,So what is higher humidity gonna tell you?
3095,SPrecipitation.,S,Precipitation.
3097,TIt's gonna tell you there's precipitation so where would it be located in relationship to the front?,T,It's gonna tell you there's precipitation so where would it be located in relationship to the front?
3102,SBy the precipitation.,S,By the precipitation.
3104,TWhat will be by the precipitation?,T,What will be by the precipitation?
3106,SThe front.,S,The front.
3108,TThe front. What front?,T,The front. What front?
3112,SCold front.,S,Cold front.
3113,TVery good.,T,Very good.
3114,SNWhere is Des Moines?,SN,Where is Des Moines?
3116,TIt's not Des Moines. It is Des Moines.,T,It's not Des Moines. It is Des Moines.
3119,SWhere is it?,S,Where is it?
3120,TIt's in Iowa.,T,It's in Iowa.
3123,SNI read that book in art.,SN,I read that book in art.
3125,THmm?,T,Hmm?
3126,SI was looking through that book in art.,S,I was looking through that book in art.
3127,TWere you?,T,Were you?
3128,SOne of the last days.,S,One of the last days.
3130,SNIs the bell going to ring late today?,SN,Is the bell going to ring late today?
3131,"TYou know what? I'm not sure. Jennifer, go ask Mrs. O'Brian if she is going to let everybody out for lunch by the bell or at nine minutes after.",T,"You know what? I'm not sure. Jennifer, go ask Mrs. O'Brian if she is going to let everybody out for lunch by the bell or at nine minutes after."
3144,SNOkay.,SN,Okay.
3145,TOkay? Okay. So far Jennifer is the only one that got all of the cities plotted.,T,Okay? Okay. So far Jennifer is the only one that got all of the cities plotted.
3150,SNI'm almost done.,SN,I'm almost done.
3151,SSI'm almost done.,SS,I'm almost done.
3152,SNTwo more.,SN,Two more.
3153,TTwo more? You might finish if you don't talk.,T,Two more? You might finish if you don't talk.
3157,SNThis is a- ,SN,This is a- 
3158,SNI haven't been talking all day. ,SN,I haven't been talking all day. 
3159,SNYes you have.,SN,Yes you have.
3160,SNI get a lot of //energy when I-,SN,I get a lot of //energy when I-
3161,SN//(inaudible) I hate it.,SN,//(inaudible) I hate it.
3162,T//Sit on your butt.,T,//Sit on your butt.
3163,SNI don't like this. I get a lot of energy when I don't talk. ,SN,I don't like this. I get a lot of energy when I don't talk. 
3166,TYou what?,T,You what?
3167,SI don't like this. I get a lot of energy when I don't talk.,S,I don't like this. I get a lot of energy when I don't talk.
3169,TTomorrow is gonna be even worse because you won't be allowed to talk in here either.,T,Tomorrow is gonna be even worse because you won't be allowed to talk in here either.
3172,SI'll be running around the whole- the whole lunch hour.,S,I'll be running around the whole- the whole lunch hour.
3176,"TMark, sit. Thank you. Work.",T,"Mark, sit. Thank you. Work."
3179,SNWe need the map.,SN,We need the map.
3185,SNI got all the cities.,SN,I got all the cities.
3186,"TYou got all the cities done? Okay. I told Jennifer to go ahead and- ooh, Cynthia, you went ahead of your group. ",T,"You got all the cities done? Okay. I told Jennifer to go ahead and- ooh, Cynthia, you went ahead of your group. "
3191,TYou're supposed to be making those decisions with your group together.,T,You're supposed to be making those decisions with your group together.
3194,SNYeah but she- she wouldn't-,SN,Yeah but she- she wouldn't-
3195,"TOkay. When you get to the point when you are ready to do precipitation and the fronts, decide as a group,",T,"Okay. When you get to the point when you are ready to do precipitation and the fronts, decide as a group,"
3203,Tso that you can explain why you think the front needs to go somewhere and then someone else can either debate with you or agree with you. ,T,so that you can explain why you think the front needs to go somewhere and then someone else can either debate with you or agree with you. 
3210,TAnd don't agree with the person just because they get better grades in science.,T,And don't agree with the person just because they get better grades in science.
3216,TBecause a lot of times when it comes to this kind of stuff they won't get it. It happens an awful lot. ,T,Because a lot of times when it comes to this kind of stuff they won't get it. It happens an awful lot. 
3223,"TThey know the bookwork, they understand some of the concepts, but when it comes to actually applying them,",T,"They know the bookwork, they understand some of the concepts, but when it comes to actually applying them,"
3229,Tsometimes those people that really get good grades have a real hard time with this kind of stuff. Mitch?,T,sometimes those people that really get good grades have a real hard time with this kind of stuff. Mitch?
3233,SNIs this homework?,SN,Is this homework?
3235,TNo. It is not homework.,T,No. It is not homework.
3236,"SNOh, good.",SN,"Oh, good."
3238,TI'm gonna give you one more minute to work and then I'm gonna explain the rest to you. What did she say?,T,I'm gonna give you one more minute to work and then I'm gonna explain the rest to you. What did she say?
3242,SNNine after.,SN,Nine after.
3243,TNine after? I figured she was gonna be going to lunch.,T,Nine after? I figured she was gonna be going to lunch.
3246,SNSo can we get out at the bell?,SN,So can we get out at the bell?
3248,"TNo. You'll get out before the bell. If you want to get out at the bell, it probably won't ring until a quarter after or so. ",T,"No. You'll get out before the bell. If you want to get out at the bell, it probably won't ring until a quarter after or so. "
3255,SNOh. The bells are behind?,SN,Oh. The bells are behind?
3256,TThe bells are behind. Because it would actually be ringing during the middle of- if we were following that clock during the middle of fourth hour. ,T,The bells are behind. Because it would actually be ringing during the middle of- if we were following that clock during the middle of fourth hour. 
3264,TIt's that middle bell.,T,It's that middle bell.
3267,SI don't like the fourth- the bell for fourth hour because there's no minute bell which is why I'm always late.,S,I don't like the fourth- the bell for fourth hour because there's no minute bell which is why I'm always late.
3272,TYou won't be today.,T,You won't be today.
3273,SI know.,S,I know.
3274,"TBecause there will be teachers in the hallway making sure you make it, because you won't be talking to each other in the hallway. ",T,"Because there will be teachers in the hallway making sure you make it, because you won't be talking to each other in the hallway. "
3278,TIt's actually working out quite nicely.,T,It's actually working out quite nicely.
3280,"SNI feel like I'm in a state prison. I mean, //don't they-",SN,"I feel like I'm in a state prison. I mean, //don't they-"
3282,T//That's how we want it to feel.,T,//That's how we want it to feel.
3283,SAbout the only difference is that- is that the teachers aren't carrying 12 gauges.,S,About the only difference is that- is that the teachers aren't carrying 12 gauges.
3287,"TNo, we won't do that, but we are definitely- it is definitely a //crackdown situation.",T,"No, we won't do that, but we are definitely- it is definitely a //crackdown situation."
3293,SN//You just keep hurting yourself.,SN,//You just keep hurting yourself.
3294,"SNYes, I do, and it's not fair.",SN,"Yes, I do, and it's not fair."
3296,TWork.,T,Work.
3297,SI keep //(inaudible)-,S,I keep //(inaudible)-
3298,T//Work.,T,//Work.
3300,SNI have a question.,SN,I have a question.
3301,THm?,T,Hm?
3302,SNHow did this ever start anyways?,SN,How did this ever start anyways?
3303,THuh?,T,Huh?
3304,SHow did that start anyways?,S,How did that start anyways?
3305,TLast Friday's behavior.,T,Last Friday's behavior.
3307,S(Mine)?,S,(Mine)?
3308,TNo.,T,No.
3311,SNHouston's in Texas.,SN,Houston's in Texas.
3312,TWho's done?,T,Who's done?
3314,"TOh, there's that lunch bell. Stop. Freeze. You are responsible to bring the map and the instructions back to this room-",T,"Oh, there's that lunch bell. Stop. Freeze. You are responsible to bring the map and the instructions back to this room-"
3323,OCan you send Dorothy to the office?,O,Can you send Dorothy to the office?
3325,TShe is on her way.,T,She is on her way.
3326,OThanks.,O,Thanks.
3327,"TTomorrow if you don't have it, am I going to give you another one?",T,"Tomorrow if you don't have it, am I going to give you another one?"
3330,SSNo.,SS,No.
3331,TNo. Are you going to get a grade?,T,No. Are you going to get a grade?
3333,SSNo.,SS,No.
3334,TNo. Just so long as we understand that. Have a nice lunch.,T,No. Just so long as we understand that. Have a nice lunch.
3337,"SNYou, too, Mrs. Anderson.",SN,"You, too, Mrs. Anderson."
3339,"TMake sure everything else is on the middle of the table. Don't- thank you, Jeff.",T,"Make sure everything else is on the middle of the table. Don't- thank you, Jeff."
3342,SNDo you want your pencil back?,SN,Do you want your pencil back?
3343,"TYes, I want my pencil back. Put that on and leave it on. It's not working, Victoria.",T,"Yes, I want my pencil back. Put that on and leave it on. It's not working, Victoria."
3352,"SNSee you tomorrow, Mrs. Anderson.",SN,"See you tomorrow, Mrs. Anderson."
